player_id,footballer_name,year,age,team,country,comp_level,lg_finish,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
79083382,Juan-Jesus,2015-2016,24,Inter,it ITA,1. Serie A,4e,19,16,"1,413",15.7,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
79083382,Juan-Jesus,2016-2017,25,Roma,it ITA,1. Serie A,2e,20,13,"1,193",13.3,0,0,0,0,0,0,5,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
79083382,Juan-Jesus,2017-2018,26,Roma,it ITA,1. Serie A,3e,22,18,"1,658",18.4,0,0,0,0,0,0,4,1,0.5,0.5,0.2,0.6,7,73,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matchs
79083382,Juan-Jesus,2018-2019,27,Roma,it ITA,1. Serie A,6e,20,15,"1,403",15.6,1,0,1,1,0,0,4,0,0.7,0.7,0.0,0.7,3,44,1,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.05,0.04,0.05,Matchs
79083382,Juan-Jesus,2019-2020,28,Roma,it ITA,1. Serie A,5e,4,1,139,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
79083382,Juan-Jesus,2020-2021,29,Roma,it ITA,1. Serie A,7e,5,0,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
79083382,Juan-Jesus,2021-2022,30,Napoli,it ITA,1. Serie A,3e,21,14,"1,278",14.2,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.6,1,36,0,0.07,0.00,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matchs
79083382,Juan-Jesus,2022-2023,31,Napoli,it ITA,1. Serie A,1er,15,10,933,10.4,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,14,55,3,0.10,0.00,0.10,0.10,0.10,0.02,0.01,0.02,0.02,0.02,Matchs
6e058f06,Giacomo-Raspadori,2018-2019,18,Sassuolo,it ITA,1. Serie A,11e,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
6e058f06,Giacomo-Raspadori,2019-2020,19,Sassuolo,it ITA,1. Serie A,8e,11,2,264,2.9,2,0,2,2,0,0,0,0,1.3,1.3,0.2,1.5,7,10,13,0.68,0.00,0.68,0.68,0.68,0.45,0.07,0.53,0.45,0.53,Matchs
6e058f06,Giacomo-Raspadori,2020-2021,20,Sassuolo,it ITA,1. Serie A,8e,27,13,"1,232",13.7,6,0,6,6,0,0,1,0,4.3,4.3,2.1,6.4,21,33,99,0.44,0.00,0.44,0.44,0.44,0.31,0.16,0.47,0.31,0.47,Matchs
6e058f06,Giacomo-Raspadori,2021-2022,21,Sassuolo,it ITA,1. Serie A,11e,36,32,"2,740",30.4,10,4,14,10,0,0,9,1,7.2,7.2,3.7,10.9,49,86,178,0.33,0.13,0.46,0.33,0.46,0.24,0.12,0.36,0.24,0.36,Matchs
6e058f06,Giacomo-Raspadori,2022-2023,22,Sassuolo,it ITA,1. Serie A,13e,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
6e058f06,Giacomo-Raspadori,2022-2023,22,Napoli,it ITA,1. Serie A,1er,25,10,911,10.1,2,2,4,2,0,0,1,0,3.5,3.5,1.3,4.8,13,33,88,0.20,0.20,0.40,0.20,0.40,0.35,0.13,0.47,0.35,0.47,Matchs
5cdddffa,Tanguy-Ndombele,2016-2017,19,Amiens,fr FRA,2. Ligue 2,2e,30,21,"1,899",21.1,2,7,9,2,0,0,2,2,,,,,,,,0.09,0.33,0.43,0.09,0.43,,,,,,Matchs
5cdddffa,Tanguy-Ndombele,2017-2018,20,Amiens,fr FRA,1. Ligue 1,13e,3,3,236,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,12,17,8,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matchs
5cdddffa,Tanguy-Ndombele,2017-2018,20,Lyon,fr FRA,1. Ligue 1,3e,32,28,"2,352",26.1,0,6,6,0,0,0,5,0,1.4,1.4,4.5,5.9,69,178,55,0.00,0.23,0.23,0.00,0.23,0.05,0.17,0.23,0.05,0.23,Matchs
5cdddffa,Tanguy-Ndombele,2018-2019,21,Lyon,fr FRA,1. Ligue 1,3e,34,31,"2,690",29.9,1,7,8,1,0,0,3,0,1.9,1.9,3.6,5.5,81,266,61,0.03,0.23,0.27,0.03,0.27,0.06,0.12,0.18,0.06,0.18,Matchs
5cdddffa,Tanguy-Ndombele,2019-2020,22,Tottenham,eng ENG,1. Premier League,6e,21,12,"1,009",11.2,2,2,4,2,0,0,3,0,0.4,0.4,0.7,1.1,22,77,33,0.18,0.18,0.36,0.18,0.36,0.03,0.07,0.10,0.03,0.10,Matchs
5cdddffa,Tanguy-Ndombele,2020-2021,23,Tottenham,eng ENG,1. Premier League,7e,33,28,"2,091",23.2,3,2,5,3,0,0,3,0,1.6,1.6,1.8,3.4,60,114,58,0.13,0.09,0.22,0.13,0.22,0.07,0.08,0.15,0.07,0.15,Matchs
5cdddffa,Tanguy-Ndombele,2021-2022,24,Tottenham,eng ENG,1. Premier League,4e,9,6,484,5.4,1,1,2,1,0,0,1,0,0.4,0.4,0.4,0.8,14,21,25,0.19,0.19,0.37,0.19,0.37,0.08,0.07,0.16,0.08,0.16,Matchs
5cdddffa,Tanguy-Ndombele,2021-2022,24,Lyon,fr FRA,1. Ligue 1,8e,11,7,701,7.8,0,2,2,0,0,0,3,0,0.2,0.2,1.7,1.9,13,56,10,0.00,0.26,0.26,0.00,0.26,0.03,0.22,0.25,0.03,0.25,Matchs
5cdddffa,Tanguy-Ndombele,2022-2023,25,Napoli,it ITA,1. Serie A,1er,30,8,807,9.0,1,0,1,1,0,0,5,0,1.0,1.0,0.5,1.4,27,52,33,0.11,0.00,0.11,0.11,0.11,0.11,0.05,0.16,0.11,0.16,Matchs
b35a7399,Leo-Skiri-Ostigard,2017,17,Molde,no NOR,1. Eliteserien,2e,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
b35a7399,Leo-Skiri-Ostigard,2018,18,Molde,no NOR,1. Eliteserien,2e,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matchs
b35a7399,Leo-Skiri-Ostigard,2018-2019,18,Brighton,eng ENG,Jr. PL2 — Div. 1,3e,12,12,"1,010",11.2,2,0,2,2,0,0,1,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,Matchs
b35a7399,Leo-Skiri-Ostigard,2019-2020,19,St. Pauli,de GER,2. 2. Bundesliga,14e,28,26,"2,347",26.1,1,0,1,1,0,0,8,0,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,Matchs
b35a7399,Leo-Skiri-Ostigard,2020-2021,20,Coventry City,eng ENG,2. Championship,16e,39,35,"3,119",34.7,2,2,4,2,0,0,12,1,3.1,3.1,1.7,4.8,33,94,8,0.06,0.06,0.12,0.06,0.12,0.09,0.05,0.14,0.09,0.14,Matchs
b35a7399,Leo-Skiri-Ostigard,2021-2022,21,Stoke City,eng ENG,2. Championship,14e,13,12,"1,101",12.2,1,0,1,1,0,0,4,0,1.1,1.1,0.2,1.2,21,49,7,0.08,0.00,0.08,0.08,0.08,0.09,0.01,0.10,0.09,0.10,Matchs
b35a7399,Leo-Skiri-Ostigard,2021-2022,21,Genoa,it ITA,1. Serie A,19e,15,13,"1,172",13.0,0,0,0,0,0,0,4,2,0.3,0.3,0.2,0.5,10,38,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matchs
b35a7399,Leo-Skiri-Ostigard,2021-2022,21,Stoke City,eng ENG,Jr. PL2 — Div. 2,3e,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
b35a7399,Leo-Skiri-Ostigard,2022-2023,22,Napoli,it ITA,1. Serie A,1er,7,4,419,4.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,23,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matchs
